Code,Year,Quarter,Roe,YOYNi,LiabilityTo,YOYEquity,YOYLiability
SZ.000751,2025,2,0.017479,0.99072,0.006303,0.001106,0.213775
SZ.000752,2025,2,0.107458,0.619597,0.003134,1.841658,0.03324
SZ.000753,2025,2,0.011648,-0.209,0.006805,0.230418,0.16057
SZ.000755,2025,2,0.045266,0.015985,0.005671,0.033408,-0.089197
SZ.000756,2025,2,0.044228,-0.152504,0.004192,0.078391,0.030179
SZ.000757,2025,2,0.019442,2.655077,0.003538,0.00788,-0.165348
SZ.000758,2025,2,0.075842,0.197021,0.00597,0.060817,0.302727
SZ.000759,2025,2,-0.153371,-0.76827,0.008409,-0.283816,-0.061252
SZ.000761,2025,2,-0.124988,0.086793,0.007557,-0.320741,0.170859
SZ.000762,2025,2,-0.00518,-1.20133,0.004835,-0.003462,0.052314
SZ.000766,2025,2,0.007423,0.364106,0.004991,-0.024861,-0.002082
SZ.000767,2025,2,0.012732,1.191079,0.008259,-0.029894,0.040997
SZ.000768,2025,2,0.032419,0.048278,0.007068,0.075443,-0.033458
SZ.000776,2025,2,0.043341,0.479385,0.008081,0.072808,0.212592
SZ.000777,2025,2,0.03468,0.01677,0.003948,0.145196,0.020666
SZ.000778,2025,2,0.015729,0.111755,0.004758,0.014228,-0.016677
SZ.000779,2025,2,0.034316,0.050907,0.00269,0.042562,-0.002082
SZ.000782,2025,2,-0.020873,-2.539191,0.004177,-0.052535,0.030674
SZ.000783,2025,2,0.043633,1.23024,0.007686,0.081956,0.219012
SZ.000785,2025,2,0.016113,-0.457094,0.005548,0.020829,-0.153595
SZ.000786,2025,2,0.074465,-0.124302,0.002301,0.079977,-0.20621
SZ.000788,2025,2,0.064458,0.155558,0.003121,0.069494,-0.211099
SZ.000789,2025,2,0.005994,13.503276,0.003606,-0.022814,-0.035184
SZ.000790,2025,2,-0.054815,-4.917613,0.005124,-0.072778,-0.013062
SZ.000791,2025,2,0.060203,0.240425,0.005324,0.568177,0.807584
SZ.000792,2025,2,0.066492,0.148194,0.001379,0.145139,-0.42938
SZ.000793,2025,2,-0.429832,-0.291453,0.0082,-0.841022,0.006305
SZ.000795,2025,2,0.053495,0.045004,0.003233,0.015311,-0.021844
SZ.000796,2025,2,-0.030822,-0.448912,0.005158,-0.044706,-0.042655
SZ.000797,2025,2,-0.01802,-1.3279,0.007637,-0.046163,0.081483
SZ.000798,2025,2,0.21334,0.356655,0.007236,-0.15385,-0.111304
SZ.000799,2025,2,0.002312,-0.926004,0.002331,-0.072196,-0.26251
SZ.000800,2025,2,0.000749,-0.921572,0.00668,0.077175,-0.045682
SZ.000801,2025,2,0.024125,0.045339,0.005357,0.026258,0.162756
SZ.000802,2025,2,-0.240217,-6.102586,0.005932,-0.300763,-0.138207
SZ.000803,2025,2,0.027994,1.914288,0.007106,0.06419,-0.047845
SZ.000807,2025,2,0.093824,0.07117,0.002195,0.117119,0.027506
SZ.000809,2025,2,-0.013101,0.435511,0.001546,-0.029108,-0.570755
SZ.000810,2025,2,0.008373,-0.720855,0.00435,-0.002544,0.111187
SZ.000811,2025,2,0.045573,-0.152142,0.00461,0.032756,0.063671
SZ.000812,2025,2,0.013691,-0.557597,0.006414,-0.010929,0.125586
SZ.000813,2025,2,-0.008439,-90.851791,0.000497,-0.043128,0.907223
SZ.000815,2025,2,0.014974,8.805945,0.004114,-0.281677,0.194738
SZ.000816,2025,2,0.004779,-0.446587,0.002711,-0.036736,-0.124374
SZ.000818,2025,2,0.005964,-0.246664,0.006794,-0.351285,0.3784
SZ.000819,2025,2,-0.01374,-1.619543,0.003032,0.008887,0.625373
SZ.000820,2025,2,-0.04867,0.054209,0.005204,0.99024,0.132306
SZ.000821,2025,2,0.049984,-0.246569,0.006733,0.088896,-0.181385
SZ.000822,2025,2,-0.050843,-2.149448,0.004112,-0.070951,0.149986
SZ.000823,2025,2,0.024015,0.657761,0.003543,0.028665,-0.029429
SZ.000825,2025,2,0.011993,1.719715,0.004686,-0.022396,-0.049674
SZ.000826,2025,2,-0.249549,-2.384068,0.007742,-0.67488,-0.029265
SZ.000828,2025,2,0.053603,0.217729,0.003711,0.059742,-0.392674
SZ.000829,2025,2,-0.021187,-3.739906,0.008775,-0.023077,0.141374
SZ.000830,2025,2,0.040747,-0.347157,0.004657,0.053081,-0.056348
SZ.000831,2025,2,0.034247,1.683178,0.001125,0.059923,0.026741
SZ.000833,2025,2,0.064678,0.730985,0.003384,0.0822,-0.048717
SZ.000837,2025,2,0.009161,-0.073556,0.004361,0.013463,-0.004788
SZ.000838,2025,2,-0.010527,-1.277895,0.007965,-0.385192,-0.177887
SZ.000839,2025,2,-0.022317,-1.070147,0.008821,0.127204,0.003498
SZ.000848,2025,2,0.075702,-0.119442,0.00233,0.109893,0.866578
SZ.000850,2025,2,0.02157,3.805951,0.003712,0.058627,0.082412
SZ.000852,2025,2,0.008966,-0.546498,0.006885,0.029987,0.064941
SZ.000856,2025,2,0.026275,-0.400008,0.008062,-0.000571,0.081938
SZ.000858,2025,2,0.142401,0.015566,0.002548,0.076547,-0.051053
SZ.000859,2025,2,-0.014457,0.040968,0.003659,-0.024123,0.319784
SZ.000860,2025,2,0.024541,-0.576853,0.004522,-0.018012,-0.060388
SZ.000862,2025,2,0.038199,0.248067,0.005313,0.0287,0.017638
SZ.000863,2025,2,0.001317,0.738692,0.003131,0.002955,-0.23168
SZ.000868,2025,2,0.021185,1.605223,0.007711,0.023397,0.377746
SZ.000869,2025,2,0.017541,-0.138126,0.001213,-0.003876,-0.057282
SZ.000875,2025,2,0.042385,-0.250191,0.006921,0.350485,0.041022
SZ.000876,2025,2,0.029239,1.572642,0.006878,0.126295,-0.11395
SZ.000877,2025,2,-0.011201,0.740676,0.006612,0.023334,-0.028337
SZ.000878,2025,2,0.087275,0.034719,0.006356,0.065766,-0.063174
SZ.000880,2025,2,0.068263,0.526186,0.006952,0.054506,0.380262
SZ.000881,2025,2,-0.019262,-0.218566,0.004899,-0.066872,0.000605
SZ.000882,2025,2,-0.003316,-1.67463,0.004623,-0.01413,0.180997
SZ.000883,2025,2,0.028235,-0.346923,0.005901,0.022355,0.063254
SZ.000885,2025,2,0.068026,0.150713,0.006864,0.128705,0.054931
SZ.000886,2025,2,-0.011704,-2.130409,0.002084,-0.009365,1.812154
SZ.000887,2025,2,0.06127,0.131183,0.004656,0.100025,0.106231
SZ.000888,2025,2,0.046394,-0.04304,0.002856,0.036391,0.16923
SZ.000889,2025,2,-0.239284,-0.478864,0.009149,-0.349495,0.105896
SZ.000890,2025,2,-1.549221,-0.042445,0.009415,-0.65279,-0.106997
SZ.000892,2025,2,-0.007295,-1.418343,0.004874,-0.231806,0.143697
SZ.000893,2025,2,0.069369,2.351833,0.00346,0.092597,0.656262
SZ.000895,2025,2,0.110729,0.008554,0.004474,0.006198,0.115584
SZ.001896,2025,2,0.032511,3.976324,0.008834,0.017127,-0.032683
SZ.000897,2025,2,0.00069,-1.003644,0.003193,0.008285,-0.439112
SZ.000898,2025,2,-0.024266,0.58324,0.005159,-0.10436,0.16304
SZ.000899,2025,2,0.075347,0.276689,0.006525,0.095714,0.310433
SZ.000900,2025,2,0.023918,0.220527,0.007552,0.014949,0.002042
SZ.000901,2025,2,0.020968,9.011744,0.003759,0.040025,-0.33587
SZ.000902,2025,2,0.087518,0.307451,0.003656,0.121669,-0.051303
SZ.000903,2025,2,-0.091197,-0.43003,0.00861,-0.459875,-0.012427
SZ.000905,2025,2,0.028168,-0.0107,0.005135,0.026832,-0.109397
SZ.000906,2025,2,0.036011,-0.185322,0.008187,0.013394,0.108126
SZ.000908,2025,2,-0.497027,-0.070576,0.010523,1.475777,-0.221986
SZ.000909,2025,2,-0.045753,-1.623418,0.005408,-0.154361,-0.211778
SZ.000910,2025,2,0.005309,-0.663701,0.002817,0.000958,0.095723
SZ.000911,2025,2,0.078933,-0.513943,0.009357,0.200483,-0.169763
SZ.000912,2025,2,0.007205,-0.657898,0.003058,-0.016851,-0.204844
SZ.000913,2025,2,0.055796,-0.224307,0.00558,0.054386,0.152468
SZ.000915,2025,2,0.118574,0.013263,0.001127,-0.022719,-0.169234
SZ.000917,2025,2,0.003945,-0.275292,0.003201,-0.00085,-0.089989
SZ.000919,2025,2,0.012781,-0.251245,0.002034,-0.000656,0.398664
SZ.000920,2025,2,0.065572,0.284324,0.002287,0.049073,0.012118
