date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2025-05-21,sz.000006,6.8700,6.9100,6.7200,6.7500,6.9200,31786100,215462398.0000,3,2.354500,1,-2.456600,-5.812620,1.694447,1.226393,-12.336629,0
2025-05-22,sz.000006,6.7400,6.9600,6.6800,6.8500,6.7500,45163265,308052975.5000,3,3.345500,1,1.481500,-5.898733,1.719550,1.244562,-12.519394,0
2025-05-23,sz.000006,6.8200,7.0200,6.7500,6.7600,6.8500,44188577,304118341.7600,3,3.273300,1,-1.313900,-5.821232,1.696958,1.228210,-12.354906,0
2025-05-26,sz.000006,6.7600,7.1000,6.7500,6.8900,6.7600,48217739,335633551.1700,3,3.571700,1,1.923100,-5.933178,1.729592,1.251829,-12.592500,0
2025-05-27,sz.000006,6.8900,7.3600,6.8100,7.2400,6.8900,61417664,436443623.8800,3,4.549500,1,5.079800,-6.234573,1.817452,1.315420,-13.232177,0
2025-05-28,sz.000006,7.1800,7.2800,7.0600,7.0700,7.2400,39241028,280960543.7800,3,2.906800,1,-2.348100,-6.088182,1.774777,1.284533,-12.921477,0
2025-05-29,sz.000006,7.0400,7.1000,6.9600,6.9900,7.0700,36503093,255938857.1100,3,2.704000,1,-1.131500,-6.019291,1.754694,1.269998,-12.775265,0
2025-05-30,sz.000006,6.9900,7.1500,6.9100,6.9300,6.9900,32941018,230894550.8600,3,2.440100,1,-0.858400,-5.967623,1.739633,1.259097,-12.665606,0
2025-06-03,sz.000006,6.8000,6.8400,6.6900,6.7400,6.9300,27424501,184774062.7100,3,2.031500,1,-2.741700,-5.804009,1.691937,1.224576,-12.318353,0
2025-06-04,sz.000006,6.7200,6.8000,6.6900,6.7400,6.7400,19498200,131465171.9900,3,1.444300,1,0.000000,-5.804009,1.691937,1.224576,-12.318353,0
2025-06-05,sz.000006,6.7400,6.8400,6.6900,6.8000,6.7400,21567171,146041530.8300,3,1.597600,1,0.890200,-5.855677,1.706999,1.235478,-12.428012,0
2025-06-06,sz.000006,6.8000,6.8200,6.7300,6.8000,6.8000,16737000,113331949.3000,3,1.239800,1,0.000000,-5.855677,1.706999,1.235478,-12.428012,0
2025-06-09,sz.000006,6.7300,6.8300,6.6400,6.8000,6.8000,20514171,138469346.9000,3,1.519600,1,0.000000,-5.855677,1.706999,1.235478,-12.428012,0
2025-06-10,sz.000006,6.8000,6.8900,6.6500,6.8100,6.8000,24661832,167415669.2800,3,1.826800,1,0.147100,-5.864288,1.709509,1.237294,-12.446288,0
2025-06-11,sz.000006,6.9200,7.1900,6.8500,6.9800,6.8100,52069336,365020023.9100,3,3.857000,1,2.496300,-6.010680,1.752184,1.268181,-12.756988,0
2025-06-12,sz.000006,6.9800,7.0700,6.9200,7.0100,6.9800,26953705,187900457.8500,3,1.996600,1,0.429800,-6.036514,1.759715,1.273632,-12.811818,0
2025-06-13,sz.000006,6.9500,7.0100,6.7400,6.8700,7.0100,30255200,207810659.0000,3,2.241100,1,-1.997100,-5.915956,1.724571,1.248196,-12.555947,0
2025-06-16,sz.000006,6.9100,6.9100,6.7500,6.7900,6.8700,23179594,157604199.7400,3,1.717000,1,-1.164500,-5.847065,1.704489,1.233661,-12.409735,0
2025-06-17,sz.000006,6.7800,6.9200,6.7500,6.8200,6.7900,19734332,134946850.2000,3,1.461800,1,0.441800,-5.872899,1.712019,1.239111,-12.464565,0
2025-06-18,sz.000006,6.8400,6.8400,6.6600,6.6900,6.8200,19123164,128269619.3200,3,1.416500,1,-1.906200,-5.760953,1.679386,1.215492,-12.226970,0
2025-06-19,sz.000006,6.6600,6.7400,6.5100,6.5500,6.6900,17379100,114958359.0200,3,1.287400,1,-2.092700,-5.640395,1.644242,1.190056,-11.971099,0
2025-06-20,sz.000006,6.5300,6.7800,6.5100,6.7800,6.5500,20726628,137453826.9800,3,1.535300,1,3.511500,-5.838454,1.701978,1.231844,-12.391459,0
2025-06-23,sz.000006,6.6100,6.6500,6.2600,6.6400,6.7800,24602442,160648049.7800,3,1.822400,1,-2.064900,-5.717896,1.666834,1.206408,-12.135588,0
2025-06-24,sz.000006,6.6200,6.9000,6.6200,6.8000,6.6400,28980628,196865468.2600,3,2.146700,1,2.409600,-5.855677,1.706999,1.235478,-12.428012,0
2025-06-25,sz.000006,6.7700,6.8500,6.7200,6.8400,6.8000,20169360,137117008.2700,3,1.494000,1,0.588200,-5.890122,1.717040,1.242745,-12.501118,0
2025-06-26,sz.000006,6.7700,6.8200,6.6900,6.7600,6.8400,18995818,128371792.0100,3,1.407100,1,-1.169600,-5.821232,1.696958,1.228210,-12.354906,0
2025-06-27,sz.000006,6.6000,6.7300,6.6000,6.6900,6.7600,23012432,153348545.8000,3,1.704600,1,-1.035500,-5.760953,1.679386,1.215492,-12.226970,0
2025-06-30,sz.000006,6.4000,6.4800,6.3000,6.4500,6.6900,40985309,262475068.4000,3,3.036000,1,-3.587400,-5.554282,1.619139,1.171887,-11.788335,0
2025-07-01,sz.000006,6.4000,6.4300,6.3100,6.3900,6.4500,29844322,189793705.4400,3,2.210700,1,-0.930200,-5.502614,1.604077,1.160986,-11.678676,0
2025-07-02,sz.000006,6.3600,6.4100,6.3000,6.3300,6.3900,19745569,124978303.0800,3,1.462600,1,-0.939000,-5.450946,1.589015,1.150084,-11.569017,0
2025-07-03,sz.000006,6.3200,6.3700,6.3100,6.3300,6.3300,14578820,92368334.4100,3,1.079900,1,0.000000,-5.450946,1.589015,1.150084,-11.569017,0
2025-07-04,sz.000006,6.3200,6.3500,6.2800,6.2800,6.3300,16648849,105109457.1500,3,1.233300,1,-0.789900,-5.407890,1.576464,1.141000,-11.477634,0
2025-07-07,sz.000006,6.3100,6.4400,6.2800,6.3500,6.2800,26120895,166481664.8300,3,1.934900,1,1.114600,-5.468169,1.594036,1.153718,-11.605570,0
2025-07-08,sz.000006,6.3100,6.4400,6.2900,6.4200,6.3500,28887077,183958002.4700,3,2.139800,1,1.102400,-5.528448,1.611608,1.166436,-11.733505,0
2025-07-09,sz.000006,6.4200,6.4500,6.3300,6.3700,6.4200,22741974,145409113.7000,3,1.684600,1,-0.778800,-5.485391,1.599056,1.157352,-11.642123,0
